keypoint,x,y,action
K,162,307,0
L,317,374,0
M,0,0,0
N,404,411,0
O,401,412,0
P,0,0,0
Q,0,0,0
A,324,110,0
B,328,74,0
C,316,72,0
D,324,126,0
E,249,73,0
F,327,176,0
G,169,166,0
H,415,250,0
I,5,230,0
J,550,172,0
K,162,307,0
L,317,374,0
M,0,0,0
N,404,411,0
O,401,412,0
P,0,0,0
Q,0,0,0
A,324,110,0
B,328,74,0
C,316,72,0
D,324,126,0
E,249,73,0
F,327,176,0
G,169,166,0
H,415,250,0
I,5,230,0
J,550,172,0
K,162,307,0
L,317,374,0
M,0,0,0
N,404,411,0
O,401,412,0
P,0,0,0
Q,0,0,0
A,324,110,0
B,328,74,0
C,316,72,0
D,324,126,0
E,249,73,0
F,327,176,0
G,169,166,0
H,415,250,0
I,5,230,0
J,550,172,0
K,162,307,0
L,317,374,0
M,0,0,0
N,404,411,0
O,401,412,0
P,0,0,0
Q,0,0,0
A,324,110,0
B,328,74,0
C,316,72,0
D,324,126,0
E,249,73,0
F,327,176,0
G,169,166,0
H,415,250,0
I,5,230,0
J,550,172,0
K,162,307,0
L,317,374,0
M,0,0,0
N,404,411,0
O,401,412,0
P,0,0,0
Q,0,0,0
A,324,110,0
B,328,74,0
C,316,72,0
D,324,126,0
E,249,73,0
F,327,176,0
G,169,166,0
H,415,250,0
I,5,230,0
J,550,172,0
K,162,307,0
L,317,374,0
M,0,0,0
N,404,411,0
O,401,412,0
P,0,0,0
Q,0,0,0
A,324,110,0
B,328,74,0
C,316,72,0
D,324,126,0
E,249,73,0
F,327,176,0
G,169,166,0
H,415,250,0
I,5,230,0
J,550,172,0
K,162,307,0
L,317,374,0
M,0,0,0
N,404,411,0
O,401,412,0
P,0,0,0
Q,0,0,0
A,324,110,0
B,328,74,0
C,316,72,0
D,324,126,0
E,249,73,0
F,327,176,0
G,169,166,0
H,415,250,0
I,5,230,0
J,550,172,0
K,162,307,0
L,317,374,0
M,0,0,0
N,404,411,0
O,401,412,0
P,0,0,0
Q,0,0,0
A,324,110,0
B,328,74,0
C,316,72,0
D,324,126,0
E,249,73,0
F,327,176,0
G,169,166,0
H,415,250,0
I,5,230,0
J,550,172,0
K,162,307,0
L,317,374,0
M,0,0,0
N,404,411,0
O,401,412,0
P,0,0,0
Q,0,0,0
A,401,524,0
B,406,372,0
C,397,371,0
D,413,373,0
E,391,372,0
F,494,536,0
G,316,535,0
H,511,711,0
I,298,710,0
J,502,707,0
K,299,712,0
L,411,724,0
M,308,727,0
N,416,899,0
O,312,902,0
P,418,1085,0
Q,400,1084,0
A,401,524,0
B,406,372,0
C,397,371,0
D,413,373,0
E,391,372,0
F,494,536,0
G,316,535,0
H,511,711,0
I,298,710,0
J,502,707,0
K,299,712,0
L,411,724,0
M,308,727,0
N,416,899,0
O,312,902,0
P,418,1085,0
Q,400,1084,0
A,401,524,0
B,406,372,0
C,397,371,0
D,413,373,0
E,391,372,0
F,494,536,0
G,316,535,0
H,511,711,0
I,298,710,0
J,502,707,0
K,299,712,0
L,411,724,0
M,308,727,0
N,416,899,0
O,312,902,0
P,418,1085,0
Q,400,1084,0
A,401,524,0
B,406,372,0
C,397,371,0
D,413,373,0
E,391,372,0
F,494,536,0
G,316,535,0
H,511,711,0
I,298,710,0
J,502,707,0
K,299,712,0
L,411,724,0
M,308,727,0
N,416,899,0
O,312,902,0
P,418,1085,0
Q,400,1084,0
A,401,524,0
B,406,372,0
C,397,371,0
D,413,373,0
E,391,372,0
F,494,536,0
G,316,535,0
H,511,711,0
I,298,710,0
J,502,707,0
K,299,712,0
L,411,724,0
M,308,727,0
N,416,899,0
O,312,902,0
P,418,1085,0
Q,400,1084,0
A,401,524,0
B,406,372,0
C,397,371,0
D,413,373,0
E,391,372,0
F,494,536,0
G,316,535,0
H,511,711,0
I,298,710,0
J,502,707,0
K,299,712,0
L,411,724,0
M,308,727,0
N,416,899,0
O,312,902,0
P,418,1085,0
Q,400,1084,0
A,401,524,0
B,406,372,0
C,397,371,0
D,413,373,0
E,391,372,0
F,494,536,0
G,316,535,0
H,511,711,0
I,298,710,0
J,502,707,0
K,299,712,0
L,411,724,0
M,308,727,0
N,416,899,0
O,312,902,0
P,418,1085,0
Q,400,1084,0
A,401,524,0
B,406,372,0
C,397,371,0
D,413,373,0
E,391,372,0
F,494,536,0
G,316,535,0
H,511,711,0
I,298,710,0
J,502,707,0
K,299,712,0
L,411,724,0
M,308,727,0
N,416,899,0
O,312,902,0
P,418,1085,0
Q,400,1084,0
A,401,524,0
B,406,372,0
C,397,371,0
D,413,373,0
E,391,372,0
F,494,536,0
G,316,535,0
H,511,711,0
I,298,710,0
J,502,707,0
K,299,712,0
L,411,724,0
M,308,727,0
N,416,899,0
O,312,902,0
P,418,1085,0
Q,400,1084,0
A,729,409,0
B,171,276,0
C,724,403,0
D,891,402,0
E,7,277,0
F,187,408,0
G,-4,405,0
H,197,547,0
I,531,528,0
J,165,538,0
K,-2,537,0
L,176,680,0
M,0,680,0
N,895,805,0
O,544,809,0
P,0,0,0
Q,0,0,0
A,729,409,0
B,171,276,0
C,724,403,0
D,891,402,0
E,7,277,0
F,187,408,0
G,-4,405,0
H,197,547,0
I,531,528,0
J,165,538,0
K,-2,537,0
L,176,680,0
M,0,680,0
N,895,805,0
O,544,809,0
P,0,0,0
Q,0,0,0
A,729,409,0
B,171,276,0
C,724,403,0
D,891,402,0
E,7,277,0
F,187,408,0
G,-4,405,0
H,197,547,0
I,531,528,0
J,165,538,0
K,-2,537,0
L,176,680,0
M,0,680,0
N,895,805,0
O,544,809,0
P,0,0,0
Q,0,0,0
A,729,409,0
B,171,276,0
C,724,403,0
D,891,402,0
E,7,277,0
F,187,408,0
G,-4,405,0
H,197,547,0
I,531,528,0
J,165,538,0
K,-2,537,0
L,176,680,0
M,0,680,0
N,895,805,0
O,544,809,0
P,0,0,0
Q,0,0,0
A,729,409,0
B,171,276,0
C,724,403,0
D,891,402,0
E,7,277,0
F,187,408,0
G,-4,405,0
H,197,547,0
I,531,528,0
J,165,538,0
K,-2,537,0
L,176,680,0
M,0,680,0
N,895,805,0
O,544,809,0
P,0,0,0
Q,0,0,0
A,729,409,0
B,171,276,0
C,724,403,0
D,891,402,0
E,7,277,0
F,187,408,0
G,-4,405,0
H,197,547,0
I,531,528,0
J,165,538,0
K,-2,537,0
L,176,680,0
M,0,680,0
N,895,805,0
O,544,809,0
P,0,0,0
Q,0,0,0
A,729,409,0
B,171,276,0
C,724,403,0
D,891,402,0
E,7,277,0
F,187,408,0
G,-4,405,0
H,197,547,0
I,531,528,0
J,165,538,0
K,-2,537,0
L,176,680,0
M,0,680,0
N,895,805,0
O,544,809,0
P,0,0,0
Q,0,0,0
A,729,409,0
B,171,276,0
C,724,403,0
D,891,402,0
E,7,277,0
F,187,408,0
G,-4,405,0
H,197,547,0
I,531,528,0
J,165,538,0
K,-2,537,0
L,176,680,0
M,0,680,0
N,895,805,0
O,544,809,0
P,0,0,0
Q,0,0,0
A,729,409,0
B,171,276,0
C,724,403,0
D,891,402,0
E,7,277,0
F,187,408,0
G,-4,405,0
H,197,547,0
I,531,528,0
J,165,538,0
K,-2,537,0
L,176,680,0
M,0,680,0
N,895,805,0
O,544,809,0
P,0,0,0
Q,0,0,0
A,430,70,0
B,429,59,0
C,418,57,0
D,0,0,0
E,313,64,0
F,424,244,0
G,208,191,0
H,0,0,0
I,95,409,0
J,532,359,0
K,217,433,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,430,70,0
B,429,59,0
C,418,57,0
D,0,0,0
E,313,64,0
F,424,244,0
G,208,191,0
H,0,0,0
I,95,409,0
J,532,359,0
K,217,433,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,430,70,0
B,429,59,0
C,418,57,0
D,0,0,0
E,313,64,0
F,424,244,0
G,208,191,0
H,0,0,0
I,95,409,0
J,532,359,0
K,217,433,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,430,70,0
B,429,59,0
C,418,57,0
D,0,0,0
E,313,64,0
F,424,244,0
G,208,191,0
H,0,0,0
I,95,409,0
J,532,359,0
K,217,433,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,430,70,0
B,429,59,0
C,418,57,0
D,0,0,0
E,313,64,0
F,424,244,0
G,208,191,0
H,0,0,0
I,95,409,0
J,532,359,0
K,217,433,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,430,70,0
B,429,59,0
C,418,57,0
D,0,0,0
E,313,64,0
F,424,244,0
G,208,191,0
H,0,0,0
I,95,409,0
J,532,359,0
K,217,433,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,430,70,0
B,429,59,0
C,418,57,0
D,0,0,0
E,313,64,0
F,424,244,0
G,208,191,0
H,0,0,0
I,95,409,0
J,532,359,0
K,217,433,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,430,70,0
B,429,59,0
C,418,57,0
D,0,0,0
E,313,64,0
F,424,244,0
G,208,191,0
H,0,0,0
I,95,409,0
J,532,359,0
K,217,433,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,430,70,0
B,429,59,0
C,418,57,0
D,0,0,0
E,313,64,0
F,424,244,0
G,208,191,0
H,0,0,0
I,95,409,0
J,532,359,0
K,217,433,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,123,70,0
B,129,62,0
C,115,63,0
D,122,64,0
E,93,74,0
F,156,102,0
G,86,105,0
H,168,148,0
I,79,155,0
J,196,148,0
K,93,193,0
L,155,205,0
M,109,205,0
N,190,239,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,123,70,0
B,129,62,0
C,115,63,0
D,122,64,0
E,93,74,0
F,156,102,0
G,86,105,0
H,168,148,0
I,79,155,0
J,196,148,0
K,93,193,0
L,155,205,0
M,109,205,0
N,190,239,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,123,70,0
B,129,62,0
C,115,63,0
D,122,64,0
E,93,74,0
F,156,102,0
G,86,105,0
H,168,148,0
I,79,155,0
J,196,148,0
K,93,193,0
L,155,205,0
M,109,205,0
N,190,239,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,123,70,0
B,129,62,0
C,115,63,0
D,122,64,0
E,93,74,0
F,156,102,0
G,86,105,0
H,168,148,0
I,79,155,0
J,196,148,0
K,93,193,0
L,155,205,0
M,109,205,0
N,190,239,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,123,70,0
B,129,62,0
C,115,63,0
D,122,64,0
E,93,74,0
F,156,102,0
G,86,105,0
H,168,148,0
I,79,155,0
J,196,148,0
K,93,193,0
L,155,205,0
M,109,205,0
N,190,239,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,123,70,0
B,129,62,0
C,115,63,0
D,122,64,0
E,93,74,0
F,156,102,0
G,86,105,0
H,168,148,0
I,79,155,0
J,196,148,0
K,93,193,0
L,155,205,0
M,109,205,0
N,190,239,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,123,70,0
B,129,62,0
C,115,63,0
D,122,64,0
E,93,74,0
F,156,102,0
G,86,105,0
H,168,148,0
I,79,155,0
J,196,148,0
K,93,193,0
L,155,205,0
M,109,205,0
N,190,239,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,123,70,0
B,129,62,0
C,115,63,0
D,122,64,0
E,93,74,0
F,156,102,0
G,86,105,0
H,168,148,0
I,79,155,0
J,196,148,0
K,93,193,0
L,155,205,0
M,109,205,0
N,190,239,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,123,70,0
B,129,62,0
C,115,63,0
D,122,64,0
E,93,74,0
F,156,102,0
G,86,105,0
H,168,148,0
I,79,155,0
J,196,148,0
K,93,193,0
L,155,205,0
M,109,205,0
N,190,239,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,214,117,0
B,229,103,0
C,160,125,0
D,270,127,0
E,154,135,0
F,0,0,0
G,0,0,0
H,0,0,0
I,0,0,0
J,0,0,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,214,117,0
B,229,103,0
C,160,125,0
D,270,127,0
E,154,135,0
F,0,0,0
G,0,0,0
H,0,0,0
I,0,0,0
J,0,0,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,214,117,0
B,229,103,0
C,160,125,0
D,270,127,0
E,154,135,0
F,0,0,0
G,0,0,0
H,0,0,0
I,0,0,0
J,0,0,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,214,117,0
B,229,103,0
C,160,125,0
D,270,127,0
E,154,135,0
F,0,0,0
G,0,0,0
H,0,0,0
I,0,0,0
J,0,0,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,214,117,0
B,229,103,0
C,160,125,0
D,270,127,0
E,154,135,0
F,0,0,0
G,0,0,0
H,0,0,0
I,0,0,0
J,0,0,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,214,117,0
B,229,103,0
C,160,125,0
D,270,127,0
E,154,135,0
F,0,0,0
G,0,0,0
H,0,0,0
I,0,0,0
J,0,0,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,214,117,0
B,229,103,0
C,160,125,0
D,270,127,0
E,154,135,0
F,0,0,0
G,0,0,0
H,0,0,0
I,0,0,0
J,0,0,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,214,117,0
B,229,103,0
C,160,125,0
D,270,127,0
E,154,135,0
F,0,0,0
G,0,0,0
H,0,0,0
I,0,0,0
J,0,0,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,214,117,0
B,229,103,0
C,160,125,0
D,270,127,0
E,154,135,0
F,0,0,0
G,0,0,0
H,0,0,0
I,0,0,0
J,0,0,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,951,184,0
B,952,169,0
C,808,171,0
D,950,169,0
E,653,176,0
F,961,355,0
G,630,346,0
H,1099,532,0
I,306,253,0
J,969,644,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,951,184,0
B,952,169,0
C,808,171,0
D,950,169,0
E,653,176,0
F,961,355,0
G,630,346,0
H,1099,532,0
I,306,253,0
J,969,644,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,951,184,0
B,952,169,0
C,808,171,0
D,950,169,0
E,653,176,0
F,961,355,0
G,630,346,0
H,1099,532,0
I,306,253,0
J,969,644,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,951,184,0
B,952,169,0
C,808,171,0
D,950,169,0
E,653,176,0
F,961,355,0
G,630,346,0
H,1099,532,0
I,306,253,0
J,969,644,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,951,184,0
B,952,169,0
C,808,171,0
D,950,169,0
E,653,176,0
F,961,355,0
G,630,346,0
H,1099,532,0
I,306,253,0
J,969,644,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,951,184,0
B,952,169,0
C,808,171,0
D,950,169,0
E,653,176,0
F,961,355,0
G,630,346,0
H,1099,532,0
I,306,253,0
J,969,644,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,951,184,0
B,952,169,0
C,808,171,0
D,950,169,0
E,653,176,0
F,961,355,0
G,630,346,0
H,1099,532,0
I,306,253,0
J,969,644,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,951,184,0
B,952,169,0
C,808,171,0
D,950,169,0
E,653,176,0
F,961,355,0
G,630,346,0
H,1099,532,0
I,306,253,0
J,969,644,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,951,184,0
B,952,169,0
C,808,171,0
D,950,169,0
E,653,176,0
F,961,355,0
G,630,346,0
H,1099,532,0
I,306,253,0
J,969,644,0
K,0,0,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,100,71,0
B,99,67,0
C,103,58,0
D,0,0,0
E,85,53,0
F,84,106,0
G,43,88,0
H,110,119,0
I,41,124,0
J,0,0,0
K,69,152,0
L,84,153,0
M,68,150,0
N,127,178,0
O,123,180,0
P,0,0,0
Q,0,0,0
A,100,71,0
B,99,67,0
C,103,58,0
D,0,0,0
E,85,53,0
F,84,106,0
G,43,88,0
H,110,119,0
I,41,124,0
J,0,0,0
K,69,152,0
L,84,153,0
M,68,150,0
N,127,178,0
O,123,180,0
P,0,0,0
Q,0,0,0
A,100,71,0
B,99,67,0
C,103,58,0
D,0,0,0
E,85,53,0
F,84,106,0
G,43,88,0
H,110,119,0
I,41,124,0
J,0,0,0
K,69,152,0
L,84,153,0
M,68,150,0
N,127,178,0
O,123,180,0
P,0,0,0
Q,0,0,0
A,100,71,0
B,99,67,0
C,103,58,0
D,0,0,0
E,85,53,0
F,84,106,0
G,43,88,0
H,110,119,0
I,41,124,0
J,0,0,0
K,69,152,0
L,84,153,0
M,68,150,0
N,127,178,0
O,123,180,0
P,0,0,0
Q,0,0,0
A,100,71,0
B,99,67,0
C,103,58,0
D,0,0,0
E,85,53,0
F,84,106,0
G,43,88,0
H,110,119,0
I,41,124,0
J,0,0,0
K,69,152,0
L,84,153,0
M,68,150,0
N,127,178,0
O,123,180,0
P,0,0,0
Q,0,0,0
A,100,71,0
B,99,67,0
C,103,58,0
D,0,0,0
E,85,53,0
F,84,106,0
G,43,88,0
H,110,119,0
I,41,124,0
J,0,0,0
K,69,152,0
L,84,153,0
M,68,150,0
N,127,178,0
O,123,180,0
P,0,0,0
Q,0,0,0
A,100,71,0
B,99,67,0
C,103,58,0
D,0,0,0
E,85,53,0
F,84,106,0
G,43,88,0
H,110,119,0
I,41,124,0
J,0,0,0
K,69,152,0
L,84,153,0
M,68,150,0
N,127,178,0
O,123,180,0
P,0,0,0
Q,0,0,0
A,100,71,0
B,99,67,0
C,103,58,0
D,0,0,0
E,85,53,0
F,84,106,0
G,43,88,0
H,110,119,0
I,41,124,0
J,0,0,0
K,69,152,0
L,84,153,0
M,68,150,0
N,127,178,0
O,123,180,0
P,0,0,0
Q,0,0,0
A,100,71,0
B,99,67,0
C,103,58,0
D,0,0,0
E,85,53,0
F,84,106,0
G,43,88,0
H,110,119,0
I,41,124,0
J,0,0,0
K,69,152,0
L,84,153,0
M,68,150,0
N,127,178,0
O,123,180,0
P,0,0,0
Q,0,0,0
A,427,169,0
B,561,106,0
C,437,105,0
D,568,172,0
E,421,172,0
F,705,287,0
G,286,351,0
H,849,539,0
I,150,454,0
J,856,458,0
K,279,619,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,427,169,0
B,561,106,0
C,437,105,0
D,568,172,0
E,421,172,0
F,705,287,0
G,286,351,0
H,849,539,0
I,150,454,0
J,856,458,0
K,279,619,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,427,169,0
B,561,106,0
C,437,105,0
D,568,172,0
E,421,172,0
F,705,287,0
G,286,351,0
H,849,539,0
I,150,454,0
J,856,458,0
K,279,619,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,427,169,0
B,561,106,0
C,437,105,0
D,568,172,0
E,421,172,0
F,705,287,0
G,286,351,0
H,849,539,0
I,150,454,0
J,856,458,0
K,279,619,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,427,169,0
B,561,106,0
C,437,105,0
D,568,172,0
E,421,172,0
F,705,287,0
G,286,351,0
H,849,539,0
I,150,454,0
J,856,458,0
K,279,619,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,427,169,0
B,561,106,0
C,437,105,0
D,568,172,0
E,421,172,0
F,705,287,0
G,286,351,0
H,849,539,0
I,150,454,0
J,856,458,0
K,279,619,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,427,169,0
B,561,106,0
C,437,105,0
D,568,172,0
E,421,172,0
F,705,287,0
G,286,351,0
H,849,539,0
I,150,454,0
J,856,458,0
K,279,619,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,427,169,0
B,561,106,0
C,437,105,0
D,568,172,0
E,421,172,0
F,705,287,0
G,286,351,0
H,849,539,0
I,150,454,0
J,856,458,0
K,279,619,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,427,169,0
B,561,106,0
C,437,105,0
D,568,172,0
E,421,172,0
F,705,287,0
G,286,351,0
H,849,539,0
I,150,454,0
J,856,458,0
K,279,619,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,326,166,0
B,381,128,0
C,318,125,0
D,0,0,0
E,253,120,0
F,322,239,0
G,224,181,0
H,397,303,0
I,97,309,0
J,479,287,0
K,311,298,0
L,0,0,0
M,0,0,0
N,462,435,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,326,166,0
B,381,128,0
C,318,125,0
D,0,0,0
E,253,120,0
F,322,239,0
G,224,181,0
H,397,303,0
I,97,309,0
J,479,287,0
K,311,298,0
L,0,0,0
M,0,0,0
N,462,435,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,326,166,0
B,381,128,0
C,318,125,0
D,0,0,0
E,253,120,0
F,322,239,0
G,224,181,0
H,397,303,0
I,97,309,0
J,479,287,0
K,311,298,0
L,0,0,0
M,0,0,0
N,462,435,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,326,166,0
B,381,128,0
C,318,125,0
D,0,0,0
E,253,120,0
F,322,239,0
G,224,181,0
H,397,303,0
I,97,309,0
J,479,287,0
K,311,298,0
L,0,0,0
M,0,0,0
N,462,435,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,326,166,0
B,381,128,0
C,318,125,0
D,0,0,0
E,253,120,0
F,322,239,0
G,224,181,0
H,397,303,0
I,97,309,0
J,479,287,0
K,311,298,0
L,0,0,0
M,0,0,0
N,462,435,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,326,166,0
B,381,128,0
C,318,125,0
D,0,0,0
E,253,120,0
F,322,239,0
G,224,181,0
H,397,303,0
I,97,309,0
J,479,287,0
K,311,298,0
L,0,0,0
M,0,0,0
N,462,435,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,326,166,0
B,381,128,0
C,318,125,0
D,0,0,0
E,253,120,0
F,322,239,0
G,224,181,0
H,397,303,0
I,97,309,0
J,479,287,0
K,311,298,0
L,0,0,0
M,0,0,0
N,462,435,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,326,166,0
B,381,128,0
C,318,125,0
D,0,0,0
E,253,120,0
F,322,239,0
G,224,181,0
H,397,303,0
I,97,309,0
J,479,287,0
K,311,298,0
L,0,0,0
M,0,0,0
N,462,435,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,326,166,0
B,381,128,0
C,318,125,0
D,0,0,0
E,253,120,0
F,322,239,0
G,224,181,0
H,397,303,0
I,97,309,0
J,479,287,0
K,311,298,0
L,0,0,0
M,0,0,0
N,462,435,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,308,14,0
B,319,4,0
C,254,7,0
D,385,15,0
E,236,124,0
F,401,126,0
G,232,114,0
H,408,306,0
I,76,163,0
J,554,183,0
K,164,284,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,308,14,0
B,319,4,0
C,254,7,0
D,385,15,0
E,236,124,0
F,401,126,0
G,232,114,0
H,408,306,0
I,76,163,0
J,554,183,0
K,164,284,0
L,0,0,0
M,0,0,0
N,0,0,0
O,0,0,0
P,0,0,0
Q,0,0,0
A,308,14,0
B,319,4,0
C,254,7,0
D,385,15,0
E,236,124,0
F,401,126,0
G,232,114,0
H,408,306,0
I,76,163,0
J,554,183,0
K,164,284,0
L,0,0,0
