keypoint,x,y,action
I,0,0,1
J,0,0,1
K,0,0,1
L,75,349,1
M,85,354,1
N,77,361,1
O,80,360,1
P,76,415,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,74,313,1
G,0,0,1
H,100,311,1
I,0,0,1
J,0,0,1
K,0,0,1
L,75,349,1
M,85,354,1
N,77,361,1
O,80,360,1
P,76,415,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,74,313,1
G,0,0,1
H,100,311,1
I,0,0,1
J,0,0,1
K,0,0,1
L,75,349,1
M,85,354,1
N,77,361,1
O,80,360,1
P,76,415,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,74,313,1
G,0,0,1
H,100,311,1
I,0,0,1
J,0,0,1
K,0,0,1
L,75,349,1
M,85,354,1
N,77,361,1
O,80,360,1
P,76,415,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,74,313,1
G,0,0,1
H,100,311,1
I,0,0,1
J,0,0,1
K,0,0,1
L,75,349,1
M,85,354,1
N,77,361,1
O,80,360,1
P,76,415,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,74,313,1
G,0,0,1
H,100,311,1
I,0,0,1
J,0,0,1
K,0,0,1
L,75,349,1
M,85,354,1
N,77,361,1
O,80,360,1
P,76,415,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,74,313,1
G,0,0,1
H,100,311,1
I,0,0,1
J,0,0,1
K,0,0,1
L,75,349,1
M,85,354,1
N,77,361,1
O,80,360,1
P,76,415,1
Q,0,0,1
A,956,145,1
B,959,142,1
C,954,141,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,965,412,1
M,950,411,1
N,953,672,1
O,716,549,1
P,707,813,1
Q,0,0,1
A,956,145,1
B,959,142,1
C,954,141,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,965,412,1
M,950,411,1
N,953,672,1
O,716,549,1
P,707,813,1
Q,0,0,1
A,956,145,1
B,959,142,1
C,954,141,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,965,412,1
M,950,411,1
N,953,672,1
O,716,549,1
P,707,813,1
Q,0,0,1
A,956,145,1
B,959,142,1
C,954,141,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,965,412,1
M,950,411,1
N,953,672,1
O,716,549,1
P,707,813,1
Q,0,0,1
A,956,145,1
B,959,142,1
C,954,141,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,965,412,1
M,950,411,1
N,953,672,1
O,716,549,1
P,707,813,1
Q,0,0,1
A,956,145,1
B,959,142,1
C,954,141,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,965,412,1
M,950,411,1
N,953,672,1
O,716,549,1
P,707,813,1
Q,0,0,1
A,956,145,1
B,959,142,1
C,954,141,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,965,412,1
M,950,411,1
N,953,672,1
O,716,549,1
P,707,813,1
Q,0,0,1
A,956,145,1
B,959,142,1
C,954,141,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,965,412,1
M,950,411,1
N,953,672,1
O,716,549,1
P,707,813,1
Q,0,0,1
A,956,145,1
B,959,142,1
C,954,141,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,965,412,1
M,950,411,1
N,953,672,1
O,716,549,1
P,707,813,1
Q,0,0,1
A,106,193,1
B,201,194,1
C,103,191,1
D,416,168,1
E,106,248,1
F,215,287,1
G,414,305,1
H,217,301,1
I,417,309,1
J,220,299,1
K,219,299,1
L,216,309,1
M,416,345,1
N,214,358,1
O,419,354,1
P,419,362,1
Q,418,363,1
A,106,193,1
B,201,194,1
C,103,191,1
D,416,168,1
E,106,248,1
F,215,287,1
G,414,305,1
H,217,301,1
I,417,309,1
J,220,299,1
K,219,299,1
L,216,309,1
M,416,345,1
N,214,358,1
O,419,354,1
P,419,362,1
Q,418,363,1
A,106,193,1
B,201,194,1
C,103,191,1
D,416,168,1
E,106,248,1
F,215,287,1
G,414,305,1
H,217,301,1
I,417,309,1
J,220,299,1
K,219,299,1
L,216,309,1
M,416,345,1
N,214,358,1
O,419,354,1
P,419,362,1
Q,418,363,1
A,106,193,1
B,201,194,1
C,103,191,1
D,416,168,1
E,106,248,1
F,215,287,1
G,414,305,1
H,217,301,1
I,417,309,1
J,220,299,1
K,219,299,1
L,216,309,1
M,416,345,1
N,214,358,1
O,419,354,1
P,419,362,1
Q,418,363,1
A,106,193,1
B,201,194,1
C,103,191,1
D,416,168,1
E,106,248,1
F,215,287,1
G,414,305,1
H,217,301,1
I,417,309,1
J,220,299,1
K,219,299,1
L,216,309,1
M,416,345,1
N,214,358,1
O,419,354,1
P,419,362,1
Q,418,363,1
A,106,193,1
B,201,194,1
C,103,191,1
D,416,168,1
E,106,248,1
F,215,287,1
G,414,305,1
H,217,301,1
I,417,309,1
J,220,299,1
K,219,299,1
L,216,309,1
M,416,345,1
N,214,358,1
O,419,354,1
P,419,362,1
Q,418,363,1
A,106,193,1
B,201,194,1
C,103,191,1
D,416,168,1
E,106,248,1
F,215,287,1
G,414,305,1
H,217,301,1
I,417,309,1
J,220,299,1
K,219,299,1
L,216,309,1
M,416,345,1
N,214,358,1
O,419,354,1
P,419,362,1
Q,418,363,1
A,106,193,1
B,201,194,1
C,103,191,1
D,416,168,1
E,106,248,1
F,215,287,1
G,414,305,1
H,217,301,1
I,417,309,1
J,220,299,1
K,219,299,1
L,216,309,1
M,416,345,1
N,214,358,1
O,419,354,1
P,419,362,1
Q,418,363,1
A,106,193,1
B,201,194,1
C,103,191,1
D,416,168,1
E,106,248,1
F,215,287,1
G,414,305,1
H,217,301,1
I,417,309,1
J,220,299,1
K,219,299,1
L,216,309,1
M,416,345,1
N,214,358,1
O,419,354,1
P,419,362,1
Q,418,363,1
A,482,364,1
B,482,363,1
C,482,363,1
D,0,0,1
E,0,0,1
F,479,443,1
G,484,447,1
H,481,447,1
I,484,374,1
J,482,443,1
K,482,442,1
L,490,532,1
M,485,531,1
N,476,544,1
O,486,454,1
P,477,636,1
Q,480,635,1
A,482,364,1
B,482,363,1
C,482,363,1
D,0,0,1
E,0,0,1
F,479,443,1
G,484,447,1
H,481,447,1
I,484,374,1
J,482,443,1
K,482,442,1
L,490,532,1
M,485,531,1
N,476,544,1
O,486,454,1
P,477,636,1
Q,480,635,1
A,482,364,1
B,482,363,1
C,482,363,1
D,0,0,1
E,0,0,1
F,479,443,1
G,484,447,1
H,481,447,1
I,484,374,1
J,482,443,1
K,482,442,1
L,490,532,1
M,485,531,1
N,476,544,1
O,486,454,1
P,477,636,1
Q,480,635,1
A,482,364,1
B,482,363,1
C,482,363,1
D,0,0,1
E,0,0,1
F,479,443,1
G,484,447,1
H,481,447,1
I,484,374,1
J,482,443,1
K,482,442,1
L,490,532,1
M,485,531,1
N,476,544,1
O,486,454,1
P,477,636,1
Q,480,635,1
A,482,364,1
B,482,363,1
C,482,363,1
D,0,0,1
E,0,0,1
F,479,443,1
G,484,447,1
H,481,447,1
I,484,374,1
J,482,443,1
K,482,442,1
L,490,532,1
M,485,531,1
N,476,544,1
O,486,454,1
P,477,636,1
Q,480,635,1
A,482,364,1
B,482,363,1
C,482,363,1
D,0,0,1
E,0,0,1
F,479,443,1
G,484,447,1
H,481,447,1
I,484,374,1
J,482,443,1
K,482,442,1
L,490,532,1
M,485,531,1
N,476,544,1
O,486,454,1
P,477,636,1
Q,480,635,1
A,482,364,1
B,482,363,1
C,482,363,1
D,0,0,1
E,0,0,1
F,479,443,1
G,484,447,1
H,481,447,1
I,484,374,1
J,482,443,1
K,482,442,1
L,490,532,1
M,485,531,1
N,476,544,1
O,486,454,1
P,477,636,1
Q,480,635,1
A,482,364,1
B,482,363,1
C,482,363,1
D,0,0,1
E,0,0,1
F,479,443,1
G,484,447,1
H,481,447,1
I,484,374,1
J,482,443,1
K,482,442,1
L,490,532,1
M,485,531,1
N,476,544,1
O,486,454,1
P,477,636,1
Q,480,635,1
A,482,364,1
B,482,363,1
C,482,363,1
D,0,0,1
E,0,0,1
F,479,443,1
G,484,447,1
H,481,447,1
I,484,374,1
J,482,443,1
K,482,442,1
L,490,532,1
M,485,531,1
N,476,544,1
O,486,454,1
P,477,636,1
Q,480,635,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,245,247,1
G,244,247,1
H,239,285,1
I,243,285,1
J,245,186,1
K,255,239,1
L,240,305,1
M,241,305,1
N,236,365,1
O,238,365,1
P,230,409,1
Q,232,409,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,245,247,1
G,244,247,1
H,239,285,1
I,243,285,1
J,245,186,1
K,255,239,1
L,240,305,1
M,241,305,1
N,236,365,1
O,238,365,1
P,230,409,1
Q,232,409,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,245,247,1
G,244,247,1
H,239,285,1
I,243,285,1
J,245,186,1
K,255,239,1
L,240,305,1
M,241,305,1
N,236,365,1
O,238,365,1
P,230,409,1
Q,232,409,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,245,247,1
G,244,247,1
H,239,285,1
I,243,285,1
J,245,186,1
K,255,239,1
L,240,305,1
M,241,305,1
N,236,365,1
O,238,365,1
P,230,409,1
Q,232,409,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,245,247,1
G,244,247,1
H,239,285,1
I,243,285,1
J,245,186,1
K,255,239,1
L,240,305,1
M,241,305,1
N,236,365,1
O,238,365,1
P,230,409,1
Q,232,409,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,245,247,1
G,244,247,1
H,239,285,1
I,243,285,1
J,245,186,1
K,255,239,1
L,240,305,1
M,241,305,1
N,236,365,1
O,238,365,1
P,230,409,1
Q,232,409,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,245,247,1
G,244,247,1
H,239,285,1
I,243,285,1
J,245,186,1
K,255,239,1
L,240,305,1
M,241,305,1
N,236,365,1
O,238,365,1
P,230,409,1
Q,232,409,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,245,247,1
G,244,247,1
H,239,285,1
I,243,285,1
J,245,186,1
K,255,239,1
L,240,305,1
M,241,305,1
N,236,365,1
O,238,365,1
P,230,409,1
Q,232,409,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,245,247,1
G,244,247,1
H,239,285,1
I,243,285,1
J,245,186,1
K,255,239,1
L,240,305,1
M,241,305,1
N,236,365,1
O,238,365,1
P,230,409,1
Q,232,409,1
A,406,241,1
B,408,237,1
C,225,172,1
D,411,236,1
E,172,177,1
F,466,245,1
G,466,243,1
H,477,289,1
I,476,287,1
J,473,303,1
K,406,304,1
L,486,307,1
M,484,306,1
N,476,367,1
O,479,367,1
P,488,424,1
Q,490,422,1
A,406,241,1
B,408,237,1
C,225,172,1
D,411,236,1
E,172,177,1
F,466,245,1
G,466,243,1
H,477,289,1
I,476,287,1
J,473,303,1
K,406,304,1
L,486,307,1
M,484,306,1
N,476,367,1
O,479,367,1
P,488,424,1
Q,490,422,1
A,406,241,1
B,408,237,1
C,225,172,1
D,411,236,1
E,172,177,1
F,466,245,1
G,466,243,1
H,477,289,1
I,476,287,1
J,473,303,1
K,406,304,1
L,486,307,1
M,484,306,1
N,476,367,1
O,479,367,1
P,488,424,1
Q,490,422,1
A,406,241,1
B,408,237,1
C,225,172,1
D,411,236,1
E,172,177,1
F,466,245,1
G,466,243,1
H,477,289,1
I,476,287,1
J,473,303,1
K,406,304,1
L,486,307,1
M,484,306,1
N,476,367,1
O,479,367,1
P,488,424,1
Q,490,422,1
A,406,241,1
B,408,237,1
C,225,172,1
D,411,236,1
E,172,177,1
F,466,245,1
G,466,243,1
H,477,289,1
I,476,287,1
J,473,303,1
K,406,304,1
L,486,307,1
M,484,306,1
N,476,367,1
O,479,367,1
P,488,424,1
Q,490,422,1
A,406,241,1
B,408,237,1
C,225,172,1
D,411,236,1
E,172,177,1
F,466,245,1
G,466,243,1
H,477,289,1
I,476,287,1
J,473,303,1
K,406,304,1
L,486,307,1
M,484,306,1
N,476,367,1
O,479,367,1
P,488,424,1
Q,490,422,1
A,406,241,1
B,408,237,1
C,225,172,1
D,411,236,1
E,172,177,1
F,466,245,1
G,466,243,1
H,477,289,1
I,476,287,1
J,473,303,1
K,406,304,1
L,486,307,1
M,484,306,1
N,476,367,1
O,479,367,1
P,488,424,1
Q,490,422,1
A,406,241,1
B,408,237,1
C,225,172,1
D,411,236,1
E,172,177,1
F,466,245,1
G,466,243,1
H,477,289,1
I,476,287,1
J,473,303,1
K,406,304,1
L,486,307,1
M,484,306,1
N,476,367,1
O,479,367,1
P,488,424,1
Q,490,422,1
A,406,241,1
B,408,237,1
C,225,172,1
D,411,236,1
E,172,177,1
F,466,245,1
G,466,243,1
H,477,289,1
I,476,287,1
J,473,303,1
K,406,304,1
L,486,307,1
M,484,306,1
N,476,367,1
O,479,367,1
P,488,424,1
Q,490,422,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1284,543,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1284,543,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1284,543,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1284,543,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1284,543,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1284,543,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1284,543,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1284,543,1
Q,0,0,1
A,0,0,1
B,0,0,1
C,0,0,1
D,0,0,1
E,0,0,1
F,0,0,1
G,0,0,1
H,0,0,1
I,0,0,1
J,0,0,1
K,0,0,1
L,0,0,1
M,0,0,1
N,0,0,1
O,0,0,1
P,1284,543,1
Q,0,0,1
A,135,77,1
B,155,69,1
C,128,70,1
D,175,81,1
E,112,83,1
F,204,155,1
G,89,152,1
H,212,240,1
I,58,125,1
J,149,13,1
K,0,0,1
L,104,147,1
M,71,153,1
N,32,141,1
O,28,140,1
P,121,233,1
Q,89,229,1
A,135,77,1
B,155,69,1
C,128,70,1
D,175,81,1
E,112,83,1
F,204,155,1
G,89,152,1
H,212,240,1
I,58,125,1
J,149,13,1
K,0,0,1
L,104,147,1
M,71,153,1
N,32,141,1
O,28,140,1
P,121,233,1
Q,89,229,1
A,135,77,1
B,155,69,1
C,128,70,1
D,175,81,1
E,112,83,1
F,204,155,1
G,89,152,1
H,212,240,1
I,58,125,1
J,149,13,1
K,0,0,1
L,104,147,1
M,71,153,1
N,32,141,1
O,28,140,1
P,121,233,1
Q,89,229,1
A,135,77,1
B,155,69,1
C,128,70,1
D,175,81,1
E,112,83,1
F,204,155,1
G,89,152,1
H,212,240,1
I,58,125,1
J,149,13,1
K,0,0,1
L,104,147,1
M,71,153,1
N,32,141,1
O,28,140,1
P,121,233,1
Q,89,229,1
A,135,77,1
B,155,69,1
C,128,70,1
D,175,81,1
E,112,83,1
F,204,155,1
G,89,152,1
H,212,240,1
I,58,125,1
J,149,13,1
K,0,0,1
L,104,147,1
M,71,153,1
N,32,141,1
O,28,140,1
P,121,233,1
Q,89,229,1
A,135,77,1
B,155,69,1
C,128,70,1
D,175,81,1
E,112,83,1
F,204,155,1
G,89,152,1
H,212,240,1
I,58,125,1
J,149,13,1
K,0,0,1
L,104,147,1
M,71,153,1
N,32,141,1
O,28,140,1
P,121,233,1
Q,89,229,1
A,135,77,1
B,155,69,1
C,128,70,1
D,175,81,1
E,112,83,1
F,204,155,1
G,89,152,1
H,212,240,1
I,58,125,1
J,149,13,1
K,0,0,1
L,104,147,1
M,71,153,1
N,32,141,1
O,28,140,1
P,121,233,1
Q,89,229,1
A,135,77,1
B,155,69,1
C,128,70,1
D,175,81,1
E,112,83,1
F,204,155,1
G,89,152,1
H,212,240,1
I,58,125,1
J,149,13,1
K,0,0,1
L,104,147,1
M,71,153,1
N,32,141,1
O,28,140,1
P,121,233,1
Q,89,229,1
A,135,77,1
B,155,69,1
C,128,70,1
D,175,81,1
E,112,83,1
F,204,155,1
G,89,152,1
H,212,240,1
I,58,125,1
J,149,13,1
K,0,0,1
L,104,147,1
M,71,153,1
N,32,141,1
O,28,140,1
P,121,233,1
Q,89,229,1
A,316,229,1
B,0,0,1
C,318,186,1
D,0,0,1
E,313,164,1
F,251,176,1
G,314,177,1
H,563,235,1
I,312,240,1
J,0,0,1
K,309,295,1
L,566,240,1
M,315,293,1
N,254,297,1
O,0,0,1
P,248,347,1
Q,0,0,1
A,316,229,1
B,0,0,1
C,318,186,1
D,0,0,1
E,313,164,1
F,251,176,1
G,314,177,1
H,563,235,1
I,312,240,1
J,0,0,1
K,309,295,1
L,566,240,1
M,315,293,1
N,254,297,1
O,0,0,1
P,248,347,1
Q,0,0,1
A,316,229,1
B,0,0,1
C,318,186,1
D,0,0,1
E,313,164,1
F,251,176,1
G,314,177,1
H,563,235,1
I,312,240,1
J,0,0,1
K,309,295,1
L,566,240,1
M,315,293,1
N,254,297,1
O,0,0,1
P,248,347,1
Q,0,0,1
A,316,229,1
B,0,0,1
C,318,186,1
D,0,0,1
E,313,164,1
F,251,176,1
G,314,177,1
H,563,235,1
I,312,240,1
J,0,0,1
K,309,295,1
L,566,240,1
M,315,293,1
N,254,297,1
O,0,0,1
P,248,347,1
Q,0,0,1
A,316,229,1
B,0,0,1
C,318,186,1
D,0,0,1
E,313,164,1
F,251,176,1
G,314,177,1
H,563,235,1
I,312,240,1
J,0,0,1
K,309,295,1
L,566,240,1
M,315,293,1
N,254,297,1
O,0,0,1
P,248,347,1
Q,0,0,1
A,316,229,1
B,0,0,1
C,318,186,1
D,0,0,1
E,313,164,1
F,251,176,1
G,314,177,1
H,563,235,1
I,312,240,1
J,0,0,1
K,309,295,1
L,566,240,1
M,315,293,1
N,254,297,1
O,0,0,1
P,248,347,1
Q,0,0,1
A,316,229,1
B,0,0,1
C,318,186,1
D,0,0,1
E,313,164,1
F,251,176,1
G,314,177,1
H,563,235,1
I,312,240,1
J,0,0,1
K,309,295,1
L,566,240,1
M,315,293,1
N,254,297,1
O,0,0,1
P,248,347,1
Q,0,0,1
A,316,229,1
B,0,0,1
C,318,186,1
D,0,0,1
E,313,164,1
F,251,176,1
G,314,177,1
H,563,235,1
I,312,240,1
J,0,0,1
K,309,295,1
L,566,240,1
M,315,293,1
N,254,297,1
O,0,0,1
P,248,347,1
Q,0,0,1
A,316,229,1
B,0,0,1
C,318,186,1
D,0,0,1
E,313,164,1
F,251,176,1
G,314,177,1
H,563,235,1
I,312,240,1
J,0,0,1
K,309,295,1
L,566,240,1
M,315,293,1
N,254,297,1
O,0,0,1
P,248,347,1
Q,0,0,1
A,298,106,1
B,302,60,1
C,299,61,1
D,0,0,1
E,244,64,1
F,291,126,1
G,235,165,1
H,292,182,1
I,226,225,1
J,0,0,1
K,228,249,1
L,236,287,1
M,290,289,1
N,237,316,1
O,237,315,1
P,225,375,1
Q,226,374,1
A,298,106,1
B,302,60,1
C,299,61,1
D,0,0,1
E,244,64,1
F,291,126,1
G,235,165,1
H,292,182,1
I,226,225,1
J,0,0,1
K,228,249,1
L,236,287,1
M,290,289,1
N,237,316,1
O,237,315,1
P,225,375,1
Q,226,374,1
A,298,106,1
B,302,60,1
C,299,61,1
D,0,0,1
E,244,64,1
F,291,126,1
G,235,165,1
H,292,182,1
I,226,225,1
J,0,0,1
K,228,249,1
L,236,287,1
M,290,289,1
N,237,316,1
O,237,315,1
P,225,375,1
Q,226,374,1
A,298,106,1
B,302,60,1
C,299,61,1
D,0,0,1
E,244,64,1
F,291,126,1
G,235,165,1
H,292,182,1
I,226,225,1
J,0,0,1
K,228,249,1
L,236,287,1
M,290,289,1
N,237,316,1
O,237,315,1
P,225,375,1
Q,226,374,1
A,298,106,1
B,302,60,1
C,299,61,1
D,0,0,1
E,244,64,1
F,291,126,1
G,235,165,1
H,292,182,1
I,226,225,1
J,0,0,1
K,228,249,1
L,236,287,1
M,290,289,1
N,237,316,1
O,237,315,1
P,225,375,1
Q,226,374,1
A,298,106,1
B,302,60,1
C,299,61,1
D,0,0,1
E,244,64,1
F,291,126,1
G,235,165,1
H,292,182,1
I,226,225,1
J,0,0,1
K,228,249,1
L,236,287,1
M,290,289,1
N,237,316,1
O,237,315,1
P,225,375,1
Q,226,374,1
A,298,106,1
B,302,60,1
C,299,61,1
D,0,0,1
E,244,64,1
F,291,126,1
G,235,165,1
H,292,182,1
I,226,225,1
J,0,0,1
K,228,249,1
L,236,287,1
M,290,289,1
N,237,316,1
O,237,315,1
P,225,375,1
Q,226,374,1
A,298,106,1
B,302,60,1
C,299,61,1
D,0,0,1
E,244,64,1
F,291,126,1
G,235,165,1
H,292,182,1
I,226,225,1
J,0,0,1
K,228,249,1
L,236,287,1
M,290,289,1
N,237,316,1
O,237,315,1
P,225,375,1
Q,226,374,1
A,298,106,1
B,302,60,1
C,299,61,1
D,0,0,1
E,244,64,1
F,291,126,1
G,235,165,1
H,292,182,1
I,226,225,1
J,0,0,1
K,228,249,1
L,236,287,1
M,290,289,1
N,237,316,1
O,237,315,1
P,225,375,1
Q,226,374,1
A,147,173,1
B,148,167,1
C,150,170,1
D,156,153,1
E,0,0,1
F,164,175,1
G,156,178,1
H,234,214,1
I,0,0,1
J,172,228,1
K,0,0,1
L,247,221,1
M,244,223,1
N,233,261,1
O,236,262,1
P,235,279,1
Q,235,278,1
A,147,173,1
B,148,167,1
C,150,170,1
D,156,153,1
E,0,0,1
F,164,175,1
G,156,178,1
H,234,214,1
I,0,0,1
J,172,228,1
K,0,0,1
L,247,221,1
M,244,223,1
N,233,261,1
O,236,262,1
P,235,279,1
Q,235,278,1
A,147,173,1
B,148,167,1
C,150,170,1
D,156,153,1
E,0,0,1
F,164,175,1
G,156,178,1
H,234,214,1
I,0,0,1
J,172,228,1
K,0,0,1
L,247,221,1
M,244,223,1
N,233,261,1
O,236,262,1
P,235,279,1
